,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,,,North America,,"117,255,163",,"1,547,054",,"112,560,982","+2,475","3,147,127","7,706",,,,,,North America,,,,,,,,
,,,Asia,,"191,939,116","+33,440","1,484,215",+5,"185,959,514","+31,999","4,495,387","9,528",,,,,,Asia,,,,,,,,
,,,Europe,,"231,671,114",,"1,930,872",,"224,036,828","+28,289","5,703,414","10,056",,,,,,Europe,,,,,,,,
,,,South America,,"64,268,411",,"1,331,534",,"62,578,553","+1,544","358,324","10,165",,,,,,South America,,,,,,,,
,,,Oceania,,"12,514,512","+1,087","21,352",+12,"12,313,681",,"179,479",91,,,,,,Australia/Oceania,,,,,,,,
,,,Africa,,"12,659,954",,"257,742",,"11,998,118",,"404,094","1,000",,,,,,Africa,,,,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,,,,
,,World,"630,308,991","+34,527","6,572,784",+17,"609,448,382","+64,306","14,287,825","38,546","80,863",843.2,,,,All,,,,,,,,
,74,Mongolia,"983,988",,"2,179 ",,"980,825",,984,192,"291,286",645,"4,030,048","1,193,000","3,378,078 ",Asia,"31,5501",,,291,
,75,Latvia,"944,302",,"6,028 ",,"926,487",,"11,787",3,"510,755","3,260","7,704,267","4,167,088","1,848,837 ",Europe,23070,,,"6,375",
,76,Azerbaijan,"822,617",,"9,932 ",,"812,247",,438,,"79,864",964,"7,290,601","707,811","10,300,205 ",Asia,"131,0371",,,43,
,77,Saudi Arabia,"819,083",,"9,383 ",,"805,670",,"4,030",34,"22,851",262,"44,452,841","1,240,144","35,844,909 ",Asia,"443,8201",,,112,
,78,Paraguay,"717,260",,"19,596 ",,"697,361",,303,7,"98,176","2,682","2,657,506","363,751","7,305,843 ",South America,103733,,,41,
,79,Bahrain,"685,969",,"1,523 ",,"682,010",,"2,436",1,"384,515",854,"10,443,468","5,854,018","1,783,983 ",Asia,"31,1710",,,"1,365",
,80,Sri Lanka,"670,929",,"16,769 ",,"654,125",,35,,"31,096",777,"6,486,117","300,619","21,575,842 ",Asia,"321,2873",,,2,
,81,Kuwait,"661,333",,"2,565 ",,"657,776",,992,1,"150,978",586,"8,401,040","1,917,903","4,380,326 ",Asia,"71,7081",,,226,
,82,Dominican Republic,"647,205",,"4,384 ",,"642,571",,250,4,"58,537",397,"3,657,057","330,765","11,056,370 ",North America,"172,5223",,,23,
,83,Myanmar,"628,577",,"19,470 ",,"597,898",,"11,209",,"11,382",353,"9,056,450","163,985","55,227,143 ",Asia,"882,8376",,,203,
,84,Palestine,"620,757",,"5,404 ",,"614,914",,439,17,"116,126","1,011","3,078,533","575,907","5,345,541 ",Asia,99892,,,82,
,85,Estonia,"604,380",,"2,713 ",,"524,990",,"76,677",7,"457,202","2,052","3,553,431","2,688,104","1,321,910 ",Europe,24870,,,"58,005",
,86,Cyprus,"593,542",,"1,189 ",,"584,124",,"8,229",60,"485,163",972,"9,640,118","7,879,860","1,223,387 ",Asia,"21,0290",,,"6,726",
,87,Moldova,"591,853",,"11,870 ",,"504,142",,"75,841",49,"147,478","2,958","3,216,305","801,437","4,013,171 ",Europe,73381,,,"18,898",
,88,Venezuela,"545,323",,"5,820 ",,"538,936",,567,36,"18,633",199,"3,359,014","114,771","29,266,991 ",South America,"545,0299",,,19,
,89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,"2064,31329",,,460,
,90,Libya,"507,024",,"6,437 ",,"500,547",,40,101,"72,013",914,"2,482,490","352,589","7,040,745 ",Africa,"141,0943",,,6,
,91,Ethiopia,"493,783",,"7,572 ",,"472,025",,"14,186",,"4,087",63,"5,289,299","43,781","120,812,698 ",Africa,"24515,95523",,,117,
,92,Réunion,"473,028",,896 ,,"418,572",,"53,560",10,"520,921",987,"1,603,660","1,766,027","908,061 ",Africa,"21,0131",,,"58,983",
,93,Qatar,"462,716",,683 ,,"459,490",,"2,543",,"155,278",229,"4,002,884","1,343,288","2,979,915 ",Asia,"64,3631",,,853,
,94,Honduras,"456,886",,"11,007 ",,N/A,N/A,N/A,105,"44,700","1,077","1,538,888","150,558","10,221,247 ",North America,229297,,,"30,655",
,95,Armenia,"444,869",,"8,706 ",,"433,602",,"2,561",,"149,688","2,929","3,223,133","1,084,512","2,971,966 ",Asia,73411,,,862,
,96,Bosnia and Herzegovina,"399,499",,"16,160 ",,"377,199",,"6,140",,"122,949","4,973","1,868,599","575,074","3,249,317 ",Europe,82012,,,"1,890",
,97,Oman,"398,424",,"4,260 ",,"384,669",,"9,495",2,"74,836",800,"25,000,000","4,695,724","5,323,993 ",Asia,"131,2500",,,"1,783",
,98,North Macedonia,"343,665",,"9,553 ",,"333,824",,288,,"165,120","4,590","2,136,270","1,026,409","2,081,304 ",Europe,62181,,,138,
,99,Kenya,"338,599",,"5,678 ",,"332,837",,84,1,"6,023",101,"3,906,063","69,484","56,215,221 ",Africa,"1669,90114",,,1,
,100,Zambia,"333,644",,"4,017 ",,"329,585",,42,,"17,136",206,"3,743,876","192,287","19,470,234 ",Africa,"584,8475",,,2,
,101,Albania,"332,645",,"3,591 ",,"327,456",,"1,598",,"116,051","1,253","1,941,032","677,173","2,866,374 ",Europe,97981,,,557,
,102,Botswana,"326,344",,"2,790 ",,"322,955",,599,1,"133,684","1,143","2,026,898","830,300","2,441,162 ",Africa,78751,,,245,
,103,Luxembourg,"297,757",,"1,133 ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,25670,,,"11,883",
,104,Montenegro,"281,890",,"2,784 ",,"278,285",,821,6,"448,905","4,433","2,639,045","4,202,636","627,950 ",Europe,22260,,,"1,307",
,105,Algeria,"270,757",,"6,881 ",,"182,367",,"81,509",,"5,970",152,"230,861","5,091","45,350,148 ",Africa,"1676,591196",,,"1,797",
,106,Nigeria,"265,937",,"3,155 ",,"259,259",,"3,523",11,"1,227",15,"5,441,162","25,104","216,746,934 ",Africa,"81568,70040",,,16,
,107,Zimbabwe,"257,893",,"5,606 ",,"251,904",,383,12,"16,821",366,"2,525,756","164,744","15,331,428 ",Africa,"592,7356",,,25,
,108,Uzbekistan,"244,421",,"1,637 ",,"241,486",,"1,298",23,"7,109",48,"1,377,915","40,077","34,382,084 ",Asia,"14121,00325",,,38,
,109,Brunei ,"231,833",,225 ,,"222,140",,"9,468",3,"520,469",505,"717,784","1,611,437","445,431 ",Asia,"21,9801",,,"21,256",
,110,Mozambique,"230,370",,"2,224 ",,"228,146",,0,11,"6,962",67,"1,371,127","41,437","33,089,461 ",Africa,"14414,87824",,,,
,111,Martinique,"222,830",,"1,047 ",,N/A,N/A,N/A,8,"595,664","2,799","828,928","2,215,870","374,087 ",North America,23570,,,"592,587",
,112,Laos,"216,101",,758 ,,N/A,N/A,N/A,,"28,887",101,"1,233,207","164,845","7,481,023 ",Asia,"359,8696",,,"27,761",
,113,Kyrgyzstan,"206,334",,"2,991 ",,"196,406",,"6,937",131,"30,667",445,"1,907,195","283,460","6,728,271 ",Asia,"332,2504",,,"1,031",
,114,Iceland,"205,963",,213 ,,N/A,N/A,N/A,2,"596,315",617,"1,996,384","5,780,036","345,393 ",Europe,"21,6220",,,"376,571",
,115,El Salvador,"201,785",,"4,230 ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,"321,5493",,,"2,770",
,116,Afghanistan,"201,276",,"7,811 ",,"179,780",,"13,685","1,124","4,939",192,"1,120,863","27,503","40,754,388 ",Asia,"2025,21836",,,336,
,117,Guadeloupe,"195,593",,991 ,,N/A,N/A,N/A,19,"489,234","2,479","938,039","2,346,306","399,794 ",North America,24030,,,"481,128",
,118,Maldives,"185,194",,308 ,,"163,687",,"21,199",25,"342,327",569,"2,213,831","4,092,223","540,985 ",Asia,"31,7560",,,"39,186",
,119,Trinidad and Tobago,"184,261",,"4,235 ",,"177,081",,"2,945",8,"130,999","3,011","842,716","599,122","1,406,585 ",North America,83322,,,"2,094",
,120,Ghana,"170,321",,"1,460 ",,"168,397",,464,2,"5,258",45,"2,511,658","77,531","32,395,450 ",Africa,"19022,18913",,,14,
,121,Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,498",75,"3,012,408","62,198","48,432,863 ",Africa,"28613,35016",,,"1,349",
