#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
162,Guinea,"37,950",,455,,"37,034",,461,8,"2,721",33,"660,107","47,329","13,947,338",Africa,"3,683,065,321",,,33,,
163,Bahamas,"37,334",,833,,"36,226",,275,2,"92,909","2,073","248,846","619,279","401,832",North America,114822,,,684,,
164,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,187",568,"778,000","15,785,095","49,287",Europe,"117,600",,,"546,534",,
165,Lesotho,"34,490",,706,,"25,980",,"7,804",,"15,813",324,"431,221","197,712","2,181,060",Africa,"6,330,895",,,"3,578",,
166,Haiti,"33,764",,857,,"31,434",,"1,473",,"2,881",73,"132,422","11,299","11,720,258",North America,"3,471,367,689",,,126,,
167,Mali,"32,709",3,742,,"31,865",,102,,"1,515",34,"765,419","35,461","21,584,640",Africa,"6,602,909,028",0.1,,5,,
168,Cayman Islands,"30,809",,34,,"8,553",,"22,222",1,"456,524",504,"222,773","3,301,025","67,486",North America,"219,850",,,"329,283",,
169,Saint Lucia,"29,550",,404,,"29,095",,51,,"159,261","2,177","210,983","1,137,099","185,545",North America,64591,,,275,,
170,Benin,"27,782",,163,,"27,464",,155,5,"2,162",13,"604,310","47,031","12,849,273",Africa,"4,637,883,021",,,12,,
171,Somalia,"27,223",,"1,361",,"13,182",,"12,680",,"1,610",80,"400,466","23,686","16,907,146",Africa,"6,211,242,342",,,750,,
172,Congo,"24,837",,386,,"24,006",,445,,"4,261",66,"347,815","59,673","5,828,641",Africa,"2,351,510,017",,,76,,
173,Timor-Leste,"23,276",,138,,"23,102",,36,,"16,917",100,"278,529","202,441","1,375,855",Asia,"5,999,705",,,26,,
174,Burkina Faso,"21,631",,387,,"21,143",,101,,974,17,"248,995","11,209","22,213,940",Africa,"10,275,740,089",,,5,,
175,Solomon Islands,"21,544",,153,,"16,357",,"5,034",1,"29,700",211,"5,117","7,054","725,398",Australia/Oceania,"344,741,142",,,"6,940",,
176,San Marino,"21,245",,118,,"20,867",,260,4,"623,130","3,461","157,634","4,623,511","34,094",Europe,22890,,,"7,626",,
177,Liechtenstein,"20,325",,86,,"19,824",,415,5,"529,600","2,241","102,174","2,662,307","38,378",Europe,24460,,,"10,813",,
178,Gibraltar,"20,121",,108,,"16,579",,"3,434",,"597,630","3,208","534,283","15,869,164","33,668",Europe,23120,,,"101,996",,
179,Grenada,"19,536",,237,,"19,248",,51,4,"171,799","2,084","179,808","1,581,230","113,714",North America,64801,,,448,,
180,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,717",33,,,"6,804,707",North America,"36,830,243",,,"2,063",,
181,Bermuda,"18,220",,148,,"17,997",,75,,"295,046","2,397","1,008,999","16,339,271","61,753",North America,34170,,,"1,215",,
182,South Sudan,"17,823",,138,,"17,335",,350,1,"1,551",12,"410,280","35,696","11,493,697",Africa,"6,458,328,828",,,30,,
183,Tajikistan,"17,786",,125,,"17,264",,397,,"1,774",12,,,"10,027,435",Asia,"56,480,219",,,40,,
184,Equatorial Guinea,"17,081",,183,,"16,713",,185,5,"11,324",121,"365,697","242,440","1,508,399",Africa,"8,882,434",,,123,,
185,Tonga,"16,182",,12,,"15,638",,532,,"149,235",111,"535,009","4,934,005","108,433",Australia/Oceania,"790,360",,,"4,906",,
186,Samoa,"15,941",,29,,"1,605",,"14,307",4,"79,140",144,"187,397","930,347","201,427",Australia/Oceania,"1,369,461",,,"71,028",,
187,Dominica,"15,760",,74,,"15,673",,13,,"217,698","1,022","229,344","3,167,997","72,394",North America,59780,,,180,,
188,Djibouti,"15,690",,189,,"15,427",,74,,"15,370",185,"305,941","299,694","1,020,843",Africa,"6,554,013",,,72,,
189,Marshall Islands,"15,375",,17,,"15,192",,166,22,"255,811",283,,,"60,103",Australia/Oceania,"43,535",,,"2,762",,
190,CAR,"14,957",,113,,"14,536",,308,2,"2,978",23,"81,294","16,188","5,021,739",Africa,"3,364,444,062",,,61,,
191,Monaco,"14,790",,63,,"14,671",,56,4,"370,881","1,580","78,646","1,972,165","39,878",Europe,36331,,,"1,404",,
192,Gambia,"12,508",,372,,"12,028",,108,,"4,863",145,"155,686","60,533","2,571,918",Africa,"206,691,417",,,42,,
193,Saint Martin,"11,992",,63,,"1,399",,"10,530",7,"298,509","1,568","112,382","2,797,451","40,173",North America,36380,,,"262,116",,
194,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,036",368,"164,926","2,893,692","56,995",North America,"527,140",,,"161,225",,
195,Yemen,"11,939",,"2,158",,"9,124",,657,23,381,69,"329,592","10,521","31,327,851",Asia,"26,241,451,795",,,21,,
196,Vanuatu,"11,935",,14,,"11,918",,3,,"36,887",43,"24,976","77,192","323,555",Australia/Oceania,"272,311,113",,,9,,
197,Caribbean Netherlands,"11,284",,36,,"10,476",,772,,"421,359","1,344","30,126","1,124,944","26,780",North America,27441,,,"28,827",,
198,Sint Maarten,"10,876",,87,,"10,779",,10,,"247,244","1,978","62,056","1,410,716","43,989",North America,45061,,,227,,
199,Eritrea,"10,182",,103,,"10,072",,7,,"2,783",28,"23,693","6,476","3,658,620",Africa,"35,935,521,154",,,2,,
200,Micronesia,"10,083",,31,,174,,"9,878",1,"85,609",263,"21,923","186,137","117,779",Australia/Oceania,"1,237,995",,,"83,869",,
201,Niger,"9,931",,312,,"8,890",,729,1,379,12,"254,538","9,711","26,210,825",Africa,"263,984,009,103",,,28,,
202,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,259","1,463","18,901","189,423","99,782",North America,116835,,,60,,
203,Guinea-Bissau,"8,831",,176,,"8,310",,345,6,"4,257",85,"145,231","70,013","2,074,351",Africa,"2,351,178,614",,,166,,
204,Comoros,"8,481",,161,,"8,316",,4,,"9,300",177,,,"911,953",Africa,"1,085,664",,,4,,
205,Liberia,"7,985",,294,,"7,681",,10,2,"1,498",55,"139,824","26,236","5,329,477",Africa,"6,671,812,738",,,2,,
206,Sierra Leone,"7,752",,126,,N/A,N/A,N/A,,929,15,"259,958","31,141","8,347,857",Africa,"10,776,625,332",,,328,,
207,Chad,"7,605",,193,,"4,874",,"2,538",,434,11,"191,341","10,931","17,503,679",Africa,"23,029,069,391",,,145,,
208,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,018","2,085","107,339","3,497,410","30,691",North America,44800,,,391,,
209,St. Vincent Grenadines,"7,112",,115,,"6,641",,356,,"63,645","1,029","100,856","902,555","111,745",North America,169721,,,"3,186",,
210,Saint Kitts and Nevis,"6,541",,46,,"6,482",,13,,"120,997",851,"124,861","2,309,717","54,059",North America,"811,750",,,240,,
211,Cook Islands,"6,389",,1,,"6,384",,4,,"362,991",57,"19,690","1,118,686","17,601",Australia/Oceania,"3,176,011",,,227,,
212,Turks and Caicos,"6,380",,36,,"6,321",,23,4,"159,844",902,"550,093","13,781,956","39,914",North America,"611,090",,,576,,
213,Sao Tome and Principe,"6,252",,77,,"6,159",,16,,"27,365",337,"29,036","127,093","228,463",Africa,"3,729,678",,,70,,
214,Palau,"5,490",,7,,"5,473",,10,1,"300,148",383,"65,505","3,581,269","18,291",Australia/Oceania,"326,130",,,547,,
215,St. Barth,"5,302",,6,,N/A,N/A,N/A,,"533,079",603,"78,646","7,907,299","9,946",North America,"216,580",,,"486,025",,
216,Nauru,"4,611",,1,,"4,605",,5,,"419,945",91,"20,509","1,867,851","10,980",Australia/Oceania,"2,109,801",,,455,,
217,Anguilla,"3,866",,12,,"3,849",,5,4,"252,531",784,"51,382","3,356,326","15,309",North America,"412,760",,,327,,
218,Kiribati,"3,430",,13,,"2,703",,714,3,"27,742",105,,,"123,638",Australia/Oceania,"369,511",,,"5,775",,
219,Saint Pierre Miquelon,"3,231",,1,,"2,449",,781,1,"563,973",175,"25,120","4,384,709","5,729",North America,"257,290",,,"136,324",,
220,Falkland Islands,"1,930",, ,,"1,886",,44,,"519,935",,"8,632","2,325,431","3,712",South America,20,,,"11,853",,
221,Saint Helena,"1,748",, ,,2,,"1,746",,"285,714",,,,"6,118",Africa,4,,,"285,387",,
222,Montserrat,"1,403",,8,,"1,376",,19,,"280,656","1,600","17,762","3,553,111","4,999",North America,46250,,,"3,801",,
223,Macao,793,,6,,787,,0,,"1,184",9,"7,850","11,724","669,569",Asia,"84,411,159,585",,,,,
224,Wallis and Futuna,761,,7,,438,,316,,"70,528",649,"20,508","1,900,649","10,790",Australia/Oceania,"1,415,411",,,"29,286",,
225,Diamond Princess,712,,13,,699,,0,,,,,, ,,,,,,,
226,Niue,83,, ,,81,,2,,"50,273",,,,"1,651",Australia/Oceania,20,,,"1,211",,
227,Vatican City,29,, ,,29,,0,,"35,980",,,,806,Europe,28,,,,,
228,Tuvalu,20,, ,,,,20,,"1,649",,,,"12,125",Australia/Oceania,606,,,"1,649",,
229,Western Sahara,10,,1,,9,,0,,16,2,,,"630,919",Africa,"63,092,630,919",,,,,
230,MS Zaandam,9,,2,,7,,0,,,,,, ,,,,,,,
,Total:,"191,826,413","114,503","1,483,981",211,"185,814,961","98,200","4,527,471","9,437",,,,,,Asia, ,,,,,
,Total:,"117,226,972","8,940","1,546,774",13,"112,492,949","63,926","3,187,249","7,754",,,,,,North America, ,,,,,
,Total:,"231,472,374","96,540","1,930,226",150,"223,792,702","120,255","5,749,446","10,053",,,,,,Europe, ,,,,,
,Total:,"64,258,279","4,981","1,331,402",23,"62,568,211","1,129","358,666","10,185",,,,,,South America, ,,,,,
,Total:,"12,486,534",621,"21,282",,"12,302,503",,"162,749",93,,,,,,Australia/Oceania, ,,,,,
,Total:,"12,659,402",347,"257,741",2,"11,997,947",321,"403,714","1,000",,,,,,Africa, ,,,,,
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
,Total:,"629,930,695","225,932","6,571,421",399,"608,969,979","283,831","14,389,295","38,522","80,814.20",843.1,,,,All,,,,,,
#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,Asia,,"191,711,910","126,446","1,483,770",268,"185,716,761","118,185","4,511,379","9,477",,,,,,Asia,,,,
,,North America,,"117,218,032","12,713","1,546,761",92,"112,429,023","56,970","3,242,248","7,832",,,,,,North America,,,,
,,Europe,,"231,375,834","128,628","1,930,076",247,"223,672,447","155,952","5,773,311","10,059",,,,,,Europe,,,,
,,South America,,"64,253,298","8,748","1,331,379",30,"62,567,082","4,679","354,837","10,185",,,,,,South America,,,,
,,Oceania,,"12,485,913","2,029","21,282",8,"12,302,503",,"162,128",92,,,,,,Australia/Oceania,,,,
